transport_id,order_id,origin,destination,transport_mode,distance_km,planned_days,actual_days,transport_cost,status
TRS-00036,ORD-00043,福建上杭,宁波,水运,781.6,4,4,17298.32,已送达
TRS-00037,ORD-00045,河南洛阳,郑州,公路,155.5,1,1,8010.97,已送达
TRS-00038,ORD-00046,贵州贞丰,成都,公路,690.2,2,3,32324.82,已送达
TRS-00039,ORD-00048,黑龙江多宝山,长春,铁路,672.8,2,2,24900.62,已送达
TRS-00040,ORD-00049,新疆阿勒泰,兰州,铁路,3058.2,6,8,71929.74,延误
TRS-00041,ORD-00050,福建上杭,厦门,公路,260.1,1,1,11637.88,已送达
TRS-00042,ORD-00051,福建上杭,上海,水运,984.1,5,5,20371.25,已送达
TRS-00043,ORD-00052,新疆阿勒泰,北京,铁路,3548.9,7,7,92427.88,已送达
TRS-00044,ORD-00054,福建上杭,广州,水运,1355.5,5,6,22467.22,已送达
TRS-00045,ORD-00055,福建上杭,南京,公路,764.1,3,3,38608.12,已送达
TRS-00046,ORD-00056,黑龙江多宝山,沈阳,铁路,746.2,3,4,34653.25,已送达
TRS-00047,ORD-00057,河南洛阳,西安,铁路,485.2,2,2,24299.64,已送达
TRS-00048,ORD-00058,福建上杭,杭州,公路,997.3,3,3,36631.39,已送达
TRS-00049,ORD-00060,福建上杭,深圳,水运,1028.8,5,5,23130.17,已送达
TRS-00050,ORD-00061,贵州贞丰,重庆,公路,552.3,2,2,23350.76,已送达
TRS-00051,ORD-00062,福建上杭,合肥,铁路,796.8,3,3,36556.42,已送达
TRS-00052,ORD-00063,福建上杭,佛山,水运,1239.8,5,6,21266.50,已送达
TRS-00053,ORD-00065,黑龙江多宝山,哈尔滨,公路,344.3,1,1,13610.80,已送达
TRS-00054,ORD-00066,新疆阿勒泰,石家庄,铁路,3775.3,7,8,95231.96,已送达
TRS-00055,ORD-00067,福建上杭,苏州,公路,982.5,3,3,37697.97,已送达
TRS-00056,ORD-00068,贵州贞丰,昆明,公路,592.1,2,2,29657.26,已送达
TRS-00057,ORD-00069,福建上杭,汕头,水运,595.4,4,4,17941.52,已送达
TRS-00058,ORD-00070,福建上杭,无锡,公路,952.3,3,3,47127.23,已送达
TRS-00059,ORD-00071,福建上杭,上海,水运,784.7,5,5,19441.25,已送达
TRS-00060,ORD-00073,新疆阿勒泰,天津,铁路,4153.9,7,7,111177.08,已送达
TRS-00061,ORD-00074,贵州贞丰,贵阳,公路,308.6,1,1,12260.39,已送达
TRS-00062,ORD-00076,河南洛阳,银川,铁路,1026.7,4,5,54970.46,已送达
TRS-00063,ORD-00077,福建上杭,温州,公路,730.0,2,2,37186.59,运输中
TRS-00064,ORD-00078,福建上杭,东莞,水运,984.1,5,5,22186.75,已送达
TRS-00065,ORD-00079,新疆阿勒泰,太原,铁路,3506.5,6,7,82726.68,已送达
TRS-00066,ORD-00080,福建上杭,苏州,公路,834.8,3,3,49772.24,已送达
TRS-00067,ORD-00081,黑龙江多宝山,大连,铁路,954.2,3,3,34388.53,已送达
TRS-00068,ORD-00082,贵州贞丰,南宁,铁路,741.2,3,4,33793.66,已送达
TRS-00069,ORD-00084,福建上杭,珠海,水运,1151.3,5,5,26929.76,已送达
TRS-00070,ORD-00085,河南洛阳,乌鲁木齐,铁路,3174.7,7,9,96574.19,延误
TRS-00071,ORD-00086,新疆阿勒泰,呼和浩特,铁路,2546.1,6,6,70482.75,已送达
TRS-00072,ORD-00087,福建上杭,上海,公路,969.5,3,3,44368.20,已送达
TRS-00073,ORD-00088,贵州贞丰,成都,公路,591.6,2,2,31427.62,已送达
TRS-00074,ORD-00090,福建上杭,厦门,公路,248.8,1,1,13880.42,已送达
TRS-00075,ORD-00091,福建上杭,杭州,水运,875.7,4,4,18212.42,已送达
TRS-00076,ORD-00092,新疆阿勒泰,北京,铁路,3903.6,7,7,96086.42,已送达
TRS-00077,ORD-00094,福建上杭,广州,水运,1308.1,5,5,29625.52,已送达
TRS-00078,ORD-00095,贵州贞丰,重庆,公路,538.2,2,2,18991.85,已送达
TRS-00079,ORD-00096,黑龙江多宝山,沈阳,铁路,876.1,3,3,27437.60,已送达
TRS-00080,ORD-00097,福建上杭,合肥,公路,856.8,3,3,39406.72,已送达
TRS-00081,ORD-00098,新疆阿勒泰,石家庄,铁路,3844.0,7,8,106443.91,已送达
TRS-00082,ORD-00099,福建上杭,深圳,水运,956.7,5,5,25003.75,已送达
TRS-00083,ORD-00100,贵州贞丰,昆明,公路,477.2,2,2,24616.51,已送达
TRS-00084,ORD-00101,福建上杭,上海,公路,838.1,3,3,45826.47,已送达
TRS-00085,ORD-00102,福建上杭,广州,铁路,1186.0,4,4,43975.99,已送达
TRS-00086,ORD-00103,新疆阿勒泰,北京,铁路,3079.4,7,8,110231.54,已送达
TRS-00087,ORD-00104,贵州贞丰,成都,公路,594.6,2,2,27641.07,运输中
TRS-00088,ORD-00105,福建上杭,南京,水运,786.1,5,5,21826.16,已送达
TRS-00089,ORD-00106,新疆阿勒泰,兰州,铁路,3268.1,6,7,91659.19,已送达
TRS-00090,ORD-00108,福建上杭,杭州,公路,904.5,3,3,40490.02,已送达
TRS-00091,ORD-00109,黑龙江多宝山,沈阳,铁路,795.0,3,3,32928.80,已送达
TRS-00092,ORD-00110,河南洛阳,北京,公路,760.8,2,3,32990.93,已送达
TRS-00093,ORD-00112,贵州贞丰,重庆,公路,531.5,2,2,18949.02,已送达
TRS-00094,ORD-00113,福建上杭,上海,水运,741.3,5,6,21877.72,已送达
TRS-00095,ORD-00114,新疆阿勒泰,天津,铁路,3681.7,7,9,110016.07,延误
TRS-00096,ORD-00115,河南洛阳,西安,公路,444.8,2,2,24222.19,已送达
TRS-00097,ORD-00116,福建上杭,合肥,公路,834.5,3,3,37119.16,已送达
TRS-00098,ORD-00118,福建上杭,深圳,水运,1260.7,5,5,26959.00,已送达
TRS-00099,ORD-00119,贵州贞丰,昆明,公路,612.8,2,2,29356.11,已送达
TRS-00100,ORD-00121,福建上杭,苏州,公路,969.0,3,4,47665.64,已送达
TRS-00101,ORD-00122,福建上杭,佛山,铁路,1207.6,4,4,39095.39,已送达
TRS-00102,ORD-00123,新疆阿勒泰,银川,铁路,1992.5,5,6,74268.00,已送达
TRS-00103,ORD-00124,福建上杭,无锡,公路,967.3,3,3,49872.99,已送达
TRS-00104,ORD-00125,黑龙江多宝山,长春,铁路,543.5,2,2,28709.65,已送达
TRS-00105,ORD-00126,新疆阿勒泰,石家庄,铁路,3323.9,7,7,86564.18,已送达
TRS-00106,ORD-00128,福建上杭,东莞,水运,1024.0,5,5,23479.30,已送达
TRS-00107,ORD-00129,贵州贞丰,武汉,铁路,1158.2,4,5,48873.93,已送达
TRS-00108,ORD-00130,河南洛阳,乌鲁木齐,铁路,3470.8,7,8,92845.46,已送达
TRS-00109,ORD-00131,黑龙江多宝山,哈尔滨,公路,378.3,1,1,14741.38,已送达
TRS-00110,ORD-00133,福建上杭,汕头,公路,627.7,2,2,34184.28,已送达
TRS-00111,ORD-00134,新疆阿勒泰,太原,铁路,3468.2,6,7,79399.94,已送达
TRS-00112,ORD-00135,贵州贞丰,贵阳,公路,279.3,1,1,13467.00,已送达
TRS-00113,ORD-00137,福建上杭,珠海,水运,1209.5,5,5,23784.46,已送达
TRS-00114,ORD-00138,河南洛阳,西宁,铁路,1323.6,4,5,52972.19,已送达
TRS-00115,ORD-00139,福建上杭,温州,公路,749.9,2,2,32903.46,已送达
TRS-00116,ORD-00140,黑龙江多宝山,大连,铁路,942.7,3,4,41755.32,已送达
TRS-00117,ORD-00141,新疆阿勒泰,呼和浩特,铁路,2694.5,6,6,79229.20,已送达
TRS-00118,ORD-00142,贵州贞丰,南宁,铁路,857.2,3,3,35863.42,已送达
TRS-00119,ORD-00143,福建上杭,宁波,水运,851.2,4,4,21496.58,已送达
TRS-00120,ORD-00145,河南洛阳,郑州,公路,145.1,1,1,9123.73,已送达
TRS-00121,ORD-00146,贵州贞丰,成都,公路,749.7,2,3,32835.80,已送达
TRS-00122,ORD-00148,黑龙江多宝山,长春,铁路,660.2,2,2,27150.40,已送达
TRS-00123,ORD-00149,新疆阿勒泰,兰州,铁路,2809.2,6,8,93472.21,延误
TRS-00124,ORD-00150,福建上杭,厦门,公路,293.5,1,1,14048.33,已送达
TRS-00125,ORD-00151,福建上杭,上海,水运,759.0,5,5,21260.60,已送达
TRS-00126,ORD-00152,新疆阿勒泰,北京,铁路,3717.9,7,7,109755.02,已送达
TRS-00127,ORD-00154,福建上杭,广州,水运,1144.2,5,6,29654.69,已送达
TRS-00128,ORD-00155,福建上杭,南京,公路,878.6,3,3,38997.52,已送达
TRS-00129,ORD-00156,黑龙江多宝山,沈阳,铁路,706.7,3,4,33142.11,已送达
TRS-00130,ORD-00157,河南洛阳,西安,铁路,538.9,2,2,21052.24,已送达
TRS-00131,ORD-00158,福建上杭,杭州,公路,1016.5,3,3,42919.67,已送达
TRS-00132,ORD-00160,福建上杭,深圳,水运,1002.3,5,5,25643.95,已送达
TRS-00133,ORD-00161,贵州贞丰,重庆,公路,458.4,2,2,22230.54,已送达
TRS-00134,ORD-00162,福建上杭,合肥,铁路,897.8,3,3,39890.90,已送达
TRS-00135,ORD-00163,福建上杭,佛山,水运,1283.9,5,6,24191.12,已送达
TRS-00136,ORD-00165,黑龙江多宝山,哈尔滨,公路,396.9,1,1,15103.23,已送达
TRS-00137,ORD-00166,新疆阿勒泰,石家庄,铁路,3593.2,7,8,102302.80,已送达
TRS-00138,ORD-00167,福建上杭,苏州,公路,999.7,3,3,43043.34,已送达
TRS-00139,ORD-00168,贵州贞丰,昆明,公路,495.6,2,2,24750.36,已送达
TRS-00140,ORD-00169,福建上杭,汕头,水运,640.8,4,4,19808.46,已送达
TRS-00141,ORD-00170,福建上杭,无锡,公路,833.5,3,3,46345.36,已送达
TRS-00142,ORD-00171,福建上杭,上海,水运,759.3,5,5,19701.88,已送达
TRS-00143,ORD-00173,新疆阿勒泰,天津,铁路,3928.8,7,7,99201.58,已送达
TRS-00144,ORD-00174,贵州贞丰,贵阳,公路,319.3,1,1,10349.69,已送达
TRS-00145,ORD-00176,河南洛阳,银川,铁路,1167.7,4,5,42363.41,已送达
TRS-00146,ORD-00177,福建上杭,温州,公路,721.5,2,2,36180.22,运输中
TRS-00147,ORD-00178,福建上杭,东莞,水运,893.5,5,5,20990.04,已送达
TRS-00148,ORD-00179,新疆阿勒泰,太原,铁路,2932.7,6,7,100069.99,已送达
TRS-00149,ORD-00180,福建上杭,苏州,公路,993.6,3,3,40794.23,已送达
TRS-00150,ORD-00181,黑龙江多宝山,大连,铁路,792.8,3,3,32191.92,已送达
TRS-00151,ORD-00182,贵州贞丰,南宁,铁路,926.9,3,4,33921.44,已送达
TRS-00152,ORD-00184,福建上杭,珠海,水运,1169.8,5,5,26449.31,已送达
TRS-00153,ORD-00185,河南洛阳,乌鲁木齐,铁路,2893.5,7,9,99527.56,延误
TRS-00154,ORD-00186,新疆阿勒泰,呼和浩特,铁路,2224.1,6,6,70541.95,已送达
TRS-00155,ORD-00187,福建上杭,上海,公路,1030.3,3,3,50297.81,已送达
TRS-00156,ORD-00188,贵州贞丰,成都,公路,668.6,2,2,25003.05,已送达
TRS-00157,ORD-00190,福建上杭,厦门,公路,212.7,1,1,10880.72,已送达
TRS-00158,ORD-00191,福建上杭,杭州,水运,867.2,4,4,18871.76,已送达
TRS-00159,ORD-00192,新疆阿勒泰,北京,铁路,3791.9,7,7,94810.48,已送达
TRS-00160,ORD-00194,福建上杭,广州,水运,1338.8,5,5,27627.24,已送达
TRS-00161,ORD-00195,贵州贞丰,重庆,公路,548.2,2,2,22041.78,已送达
TRS-00162,ORD-00196,黑龙江多宝山,沈阳,铁路,683.3,3,3,32142.08,已送达
TRS-00163,ORD-00197,福建上杭,合肥,公路,784.2,3,3,34159.72,已送达
TRS-00164,ORD-00198,新疆阿勒泰,石家庄,铁路,3028.0,7,8,82905.80,已送达
TRS-00165,ORD-00199,福建上杭,深圳,水运,1076.7,5,5,22793.58,已送达
TRS-00166,ORD-00200,贵州贞丰,昆明,公路,516.1,2,2,29523.42,已送达
TRS-00167,ORD-00201,福建上杭,上海,公路,1132.6,3,3,52608.46,已送达
TRS-00168,ORD-00202,福建上杭,广州,铁路,1154.3,4,4,43139.58,已送达
TRS-00169,ORD-00203,新疆阿勒泰,北京,铁路,3903.5,7,8,88346.10,已送达
TRS-00170,ORD-00204,贵州贞丰,成都,公路,556.7,2,2,25757.03,运输中
TRS-00171,ORD-00205,福建上杭,南京,水运,992.8,5,5,23027.69,已送达
TRS-00172,ORD-00206,新疆阿勒泰,兰州,铁路,2581.4,6,7,71063.82,已送达
TRS-00173,ORD-00208,福建上杭,杭州,公路,1006.3,3,3,37201.04,已送达
TRS-00174,ORD-00209,黑龙江多宝山,沈阳,铁路,907.9,3,3,28562.24,已送达
TRS-00175,ORD-00210,河南洛阳,北京,公路,665.4,2,3,32869.65,已送达
TRS-00176,ORD-00212,贵州贞丰,重庆,公路,434.0,2,2,23401.58,已送达
TRS-00177,ORD-00213,福建上杭,上海,水运,907.4,5,6,23925.53,已送达
TRS-00178,ORD-00214,新疆阿勒泰,天津,铁路,3293.6,7,9,86656.89,延误
TRS-00179,ORD-00215,河南洛阳,西安,公路,450.2,2,2,20704.92,已送达
TRS-00180,ORD-00216,福建上杭,合肥,公路,874.3,3,3,34232.32,已送达
TRS-00181,ORD-00218,福建上杭,深圳,水运,1202.3,5,5,25133.27,已送达
TRS-00182,ORD-00219,贵州贞丰,昆明,公路,543.2,2,2,22458.64,已送达
TRS-00183,ORD-00221,福建上杭,苏州,公路,842.1,3,4,43981.92,已送达
TRS-00184,ORD-00222,福建上杭,佛山,铁路,1176.1,4,4,31194.00,已送达
TRS-00185,ORD-00223,新疆阿勒泰,银川,铁路,2512.9,5,6,67793.40,已送达
TRS-00186,ORD-00224,福建上杭,无锡,公路,1078.8,3,3,49953.87,已送达
TRS-00187,ORD-00225,黑龙江多宝山,长春,铁路,608.9,2,2,26115.02,已送达
TRS-00188,ORD-00226,新疆阿勒泰,石家庄,铁路,3461.3,7,7,106932.70,已送达
TRS-00189,ORD-00228,福建上杭,东莞,水运,1212.2,5,5,28024.58,已送达
TRS-00190,ORD-00229,贵州贞丰,武汉,铁路,1008.5,4,5,43076.29,已送达
TRS-00191,ORD-00230,河南洛阳,乌鲁木齐,铁路,3119.7,7,8,85942.65,已送达
TRS-00192,ORD-00231,黑龙江多宝山,哈尔滨,公路,338.2,1,1,17412.90,已送达
TRS-00193,ORD-00233,福建上杭,汕头,公路,711.4,2,2,35129.73,已送达
TRS-00194,ORD-00234,新疆阿勒泰,太原,铁路,2682.3,6,7,76822.15,已送达
TRS-00195,ORD-00235,贵州贞丰,贵阳,公路,301.4,1,1,11429.58,已送达
TRS-00196,ORD-00237,福建上杭,珠海,水运,1260.6,5,5,25366.98,已送达
TRS-00197,ORD-00238,河南洛阳,西宁,铁路,1615.2,4,5,44754.27,已送达
TRS-00198,ORD-00239,福建上杭,温州,公路,593.1,2,2,28351.04,已送达
TRS-00199,ORD-00240,黑龙江多宝山,大连,铁路,987.9,3,4,41915.70,已送达
TRS-00200,ORD-00241,新疆阿勒泰,呼和浩特,铁路,2431.0,6,6,81671.93,已送达
TRS-00201,ORD-00242,贵州贞丰,南宁,铁路,866.9,3,3,33661.66,已送达
TRS-00202,ORD-00243,福建上杭,宁波,水运,640.8,4,4,23445.56,已送达
TRS-00203,ORD-00245,河南洛阳,郑州,公路,147.3,1,1,8213.19,已送达
TRS-00204,ORD-00246,贵州贞丰,成都,公路,562.2,2,3,26158.05,已送达
TRS-00205,ORD-00248,黑龙江多宝山,长春,铁路,600.8,2,2,21589.08,已送达
TRS-00206,ORD-00249,新疆阿勒泰,兰州,铁路,3232.5,6,8,71632.08,延误
TRS-00207,ORD-00250,福建上杭,厦门,公路,249.0,1,1,13512.54,已送达
TRS-00208,ORD-00251,福建上杭,上海,水运,745.6,5,5,20625.35,已送达
TRS-00209,ORD-00252,新疆阿勒泰,北京,铁路,3394.4,7,7,94089.43,已送达
TRS-00210,ORD-00254,福建上杭,广州,水运,1111.2,5,6,29058.38,已送达
TRS-00211,ORD-00255,福建上杭,南京,公路,856.2,3,3,39598.12,已送达
TRS-00212,ORD-00256,黑龙江多宝山,沈阳,铁路,691.3,3,4,28822.02,已送达
TRS-00213,ORD-00257,河南洛阳,西安,铁路,501.9,2,2,21838.50,已送达
TRS-00214,ORD-00258,福建上杭,杭州,公路,996.3,3,3,44617.52,已送达
TRS-00215,ORD-00260,福建上杭,深圳,水运,1215.0,5,5,23300.12,已送达
TRS-00216,ORD-00261,贵州贞丰,重庆,公路,418.6,2,2,23070.52,已送达
TRS-00217,ORD-00262,福建上杭,合肥,铁路,814.2,3,3,32862.72,已送达
TRS-00218,ORD-00263,福建上杭,佛山,水运,1220.6,5,6,28079.35,已送达
TRS-00219,ORD-00265,黑龙江多宝山,哈尔滨,公路,365.6,1,1,14473.09,已送达
TRS-00220,ORD-00266,新疆阿勒泰,石家庄,铁路,2892.2,7,8,86530.78,已送达
TRS-00221,ORD-00267,福建上杭,苏州,公路,862.0,3,3,46351.03,已送达
TRS-00222,ORD-00268,贵州贞丰,昆明,公路,579.7,2,2,27695.88,已送达
TRS-00223,ORD-00269,福建上杭,汕头,水运,569.9,4,4,17218.03,已送达
TRS-00224,ORD-00270,福建上杭,无锡,公路,1095.0,3,3,46579.49,已送达
TRS-00225,ORD-00271,福建上杭,上海,水运,847.2,5,5,23636.07,已送达
TRS-00226,ORD-00273,新疆阿勒泰,天津,铁路,3945.5,7,7,107561.47,已送达
TRS-00227,ORD-00274,贵州贞丰,贵阳,公路,247.4,1,1,11968.14,已送达
TRS-00228,ORD-00276,河南洛阳,银川,铁路,1361.4,4,5,55626.24,已送达
TRS-00229,ORD-00277,福建上杭,温州,公路,694.8,2,2,31967.84,运输中
TRS-00230,ORD-00278,福建上杭,东莞,水运,1202.5,5,5,22885.30,已送达
TRS-00231,ORD-00279,新疆阿勒泰,太原,铁路,3602.5,6,7,99640.82,已送达
TRS-00232,ORD-00280,福建上杭,苏州,公路,878.2,3,3,39143.93,已送达
TRS-00233,ORD-00281,黑龙江多宝山,大连,铁路,875.9,3,3,34733.05,已送达
TRS-00234,ORD-00282,贵州贞丰,南宁,铁路,926.0,3,4,29149.38,已送达
TRS-00235,ORD-00284,福建上杭,珠海,水运,1031.7,5,5,23625.07,已送达
TRS-00236,ORD-00285,河南洛阳,乌鲁木齐,铁路,3379.4,7,9,103212.74,延误
TRS-00237,ORD-00286,新疆阿勒泰,呼和浩特,铁路,3044.2,6,6,70446.71,已送达
TRS-00238,ORD-00287,福建上杭,上海,公路,1075.5,3,3,41092.29,已送达
TRS-00239,ORD-00288,贵州贞丰,成都,公路,587.4,2,2,25467.82,已送达
TRS-00240,ORD-00290,福建上杭,厦门,公路,246.5,1,1,12282.96,已送达
TRS-00241,ORD-00291,福建上杭,杭州,水运,841.8,4,4,19407.02,已送达
TRS-00242,ORD-00292,新疆阿勒泰,北京,铁路,4048.5,7,7,88518.53,已送达
TRS-00243,ORD-00294,福建上杭,广州,水运,1092.7,5,5,23075.55,已送达
TRS-00244,ORD-00295,贵州贞丰,重庆,公路,485.5,2,2,22765.60,已送达
TRS-00245,ORD-00296,黑龙江多宝山,沈阳,铁路,911.6,3,3,33927.78,已送达
TRS-00246,ORD-00297,福建上杭,合肥,公路,759.7,3,3,44414.80,已送达
TRS-00247,ORD-00298,新疆阿勒泰,石家庄,铁路,2915.2,7,8,92302.22,已送达
TRS-00248,ORD-00299,福建上杭,深圳,水运,1083.7,5,5,24408.10,已送达
TRS-00249,ORD-00300,贵州贞丰,昆明,公路,647.9,2,2,26155.77,已送达
TRS-00250,ORD-00301,福建上杭,上海,公路,839.0,3,3,38719.26,已送达
TRS-00251,ORD-00302,福建上杭,广州,铁路,1247.8,4,4,43311.37,已送达
TRS-00252,ORD-00303,新疆阿勒泰,北京,铁路,3564.3,7,8,107027.57,已送达
TRS-00253,ORD-00304,贵州贞丰,成都,公路,752.2,2,2,24479.14,运输中
TRS-00254,ORD-00305,福建上杭,南京,水运,986.3,5,5,20012.61,已送达
TRS-00255,ORD-00306,新疆阿勒泰,兰州,铁路,2764.1,6,7,79357.71,已送达
TRS-00256,ORD-00308,福建上杭,杭州,公路,912.7,3,3,41135.89,已送达
TRS-00257,ORD-00309,黑龙江多宝山,沈阳,铁路,894.2,3,3,27997.28,已送达
TRS-00258,ORD-00310,河南洛阳,北京,公路,723.0,2,3,34984.46,已送达
TRS-00259,ORD-00312,贵州贞丰,重庆,公路,493.9,2,2,25940.40,已送达
TRS-00260,ORD-00313,福建上杭,上海,水运,801.2,5,6,24240.85,已送达
TRS-00261,ORD-00314,新疆阿勒泰,天津,铁路,3100.7,7,9,91963.89,延误
TRS-00262,ORD-00315,河南洛阳,西安,公路,541.7,2,2,26793.02,已送达
TRS-00263,ORD-00316,福建上杭,合肥,公路,987.9,3,3,41995.24,已送达
TRS-00264,ORD-00318,福建上杭,深圳,水运,1110.2,5,5,28439.05,已送达
TRS-00265,ORD-00319,贵州贞丰,昆明,公路,519.7,2,2,28740.06,已送达
TRS-00266,ORD-00321,福建上杭,苏州,公路,1024.4,3,4,51867.73,已送达
TRS-00267,ORD-00322,福建上杭,佛山,铁路,1298.4,4,4,41373.97,已送达
TRS-00268,ORD-00323,新疆阿勒泰,银川,铁路,2383.3,5,6,74500.85,已送达
TRS-00269,ORD-00324,福建上杭,无锡,公路,1042.5,3,3,39863.36,已送达
TRS-00270,ORD-00325,黑龙江多宝山,长春,铁路,618.9,2,2,22358.80,已送达
TRS-00271,ORD-00326,新疆阿勒泰,石家庄,铁路,3943.4,7,7,93455.90,已送达
TRS-00272,ORD-00328,福建上杭,东莞,水运,1205.8,5,5,20769.07,已送达
TRS-00273,ORD-00329,贵州贞丰,武汉,铁路,1035.0,4,5,42844.83,已送达
TRS-00274,ORD-00330,河南洛阳,乌鲁木齐,铁路,3130.6,7,8,75740.90,已送达
TRS-00275,ORD-00331,黑龙江多宝山,哈尔滨,公路,407.3,1,1,14621.59,已送达
TRS-00276,ORD-00333,福建上杭,汕头,公路,685.8,2,2,31398.42,已送达
TRS-00277,ORD-00334,新疆阿勒泰,太原,铁路,3046.6,6,7,84252.60,已送达
TRS-00278,ORD-00335,贵州贞丰,贵阳,公路,319.1,1,1,13345.82,已送达
TRS-00279,ORD-00337,福建上杭,珠海,水运,1008.8,5,5,20904.81,已送达
TRS-00280,ORD-00338,河南洛阳,西宁,铁路,1571.1,4,5,52453.96,已送达
TRS-00281,ORD-00339,福建上杭,温州,公路,703.2,2,2,35896.16,已送达
TRS-00282,ORD-00340,黑龙江多宝山,大连,铁路,916.8,3,4,30956.40,已送达
TRS-00283,ORD-00341,新疆阿勒泰,呼和浩特,铁路,2673.4,6,6,85031.00,已送达
TRS-00284,ORD-00342,贵州贞丰,南宁,铁路,927.9,3,3,29445.06,已送达
TRS-00285,ORD-00343,福建上杭,宁波,水运,761.8,4,4,18308.78,已送达
TRS-00286,ORD-00345,河南洛阳,郑州,公路,168.1,1,1,7691.26,已送达
TRS-00287,ORD-00346,贵州贞丰,成都,公路,698.6,2,3,24200.09,已送达
TRS-00288,ORD-00348,黑龙江多宝山,长春,铁路,684.3,2,2,29132.05,已送达
TRS-00289,ORD-00349,新疆阿勒泰,兰州,铁路,3283.6,6,8,79925.97,延误
TRS-00290,ORD-00350,福建上杭,厦门,公路,271.5,1,1,11538.48,已送达
TRS-00291,ORD-00351,福建上杭,上海,水运,968.9,5,5,23001.55,已送达
TRS-00292,ORD-00352,新疆阿勒泰,北京,铁路,4097.4,7,7,104996.09,已送达
TRS-00293,ORD-00354,福建上杭,广州,水运,1159.7,5,6,23712.18,已送达
TRS-00294,ORD-00355,福建上杭,南京,公路,1016.7,3,3,44021.44,已送达
TRS-00295,ORD-00356,黑龙江多宝山,沈阳,铁路,912.5,3,4,36198.18,已送达
TRS-00296,ORD-00357,河南洛阳,西安,铁路,507.0,2,2,20368.35,已送达
TRS-00297,ORD-00358,福建上杭,杭州,公路,952.8,3,3,38465.07,已送达
TRS-00298,ORD-00360,福建上杭,深圳,水运,1052.6,5,5,24731.50,已送达
TRS-00299,ORD-00361,贵州贞丰,重庆,公路,490.5,2,2,25284.09,已送达
TRS-00300,ORD-00362,福建上杭,合肥,铁路,902.7,3,3,34367.69,已送达
