record_id,record_date,warehouse_id,warehouse_location,product_category,stock_quantity_tons,min_stock_tons,max_capacity_tons
INV-00081,2025-08-15,WH-04,贵州贞丰,金矿石,291.8,100.0,1000.0
INV-00082,2025-08-15,WH-04,贵州贞丰,锌精矿,777.4,300.0,2500.0
INV-00083,2025-08-15,WH-05,河南洛阳,银精矿,44.6,40.0,400.0
INV-00084,2025-08-15,WH-05,河南洛阳,钼精矿,168.2,80.0,600.0
INV-00085,2025-11-15,WH-01,福建上杭,金矿石,1004.8,200.0,2000.0
INV-00086,2025-11-15,WH-01,福建上杭,铜精矿,1404.8,300.0,3000.0
INV-00087,2025-11-15,WH-01,福建上杭,银精矿,127.4,50.0,500.0
INV-00088,2025-11-15,WH-02,新疆阿勒泰,金矿石,557.7,150.0,1500.0
INV-00089,2025-11-15,WH-02,新疆阿勒泰,铜精矿,1219.9,250.0,2500.0
INV-00090,2025-11-15,WH-02,新疆阿勒泰,锌精矿,1432.7,400.0,4000.0
INV-00091,2025-11-15,WH-03,黑龙江多宝山,铜精矿,652.9,200.0,2000.0
INV-00092,2025-11-15,WH-03,黑龙江多宝山,钼精矿,233.3,100.0,800.0
INV-00093,2025-11-15,WH-04,贵州贞丰,金矿石,520.3,100.0,1000.0
INV-00094,2025-11-15,WH-04,贵州贞丰,锌精矿,982.0,300.0,2500.0
INV-00095,2025-11-15,WH-05,河南洛阳,银精矿,86.3,40.0,400.0
INV-00096,2025-11-15,WH-05,河南洛阳,钼精矿,280.7,80.0,600.0
INV-00097,2025-03-15,WH-01,福建上杭,金矿石,777.5,200.0,2000.0
INV-00098,2025-03-15,WH-01,福建上杭,铜精矿,1109.7,300.0,3000.0
INV-00099,2025-03-15,WH-01,福建上杭,银精矿,140.1,50.0,500.0
INV-00100,2025-03-15,WH-02,新疆阿勒泰,金矿石,589.9,150.0,1500.0
INV-00101,2025-03-15,WH-02,新疆阿勒泰,铜精矿,944.1,250.0,2500.0
INV-00102,2025-03-15,WH-02,新疆阿勒泰,锌精矿,1825.9,400.0,4000.0
INV-00103,2025-03-15,WH-03,黑龙江多宝山,铜精矿,863.7,200.0,2000.0
INV-00104,2025-03-15,WH-03,黑龙江多宝山,钼精矿,305.3,100.0,800.0
INV-00105,2025-03-15,WH-04,贵州贞丰,金矿石,429.5,100.0,1000.0
INV-00106,2025-03-15,WH-04,贵州贞丰,锌精矿,940.9,300.0,2500.0
INV-00107,2025-03-15,WH-05,河南洛阳,银精矿,90.1,40.0,400.0
INV-00108,2025-03-15,WH-05,河南洛阳,钼精矿,320.9,80.0,600.0
INV-00109,2025-06-15,WH-01,福建上杭,金矿石,787.9,200.0,2000.0
INV-00110,2025-06-15,WH-01,福建上杭,铜精矿,999.6,300.0,3000.0
INV-00111,2025-06-15,WH-01,福建上杭,银精矿,89.3,50.0,500.0
INV-00112,2025-06-15,WH-02,新疆阿勒泰,金矿石,434.7,150.0,1500.0
INV-00113,2025-06-15,WH-02,新疆阿勒泰,铜精矿,1108.4,250.0,2500.0
INV-00114,2025-06-15,WH-02,新疆阿勒泰,锌精矿,1358.7,400.0,4000.0
INV-00115,2025-06-15,WH-03,黑龙江多宝山,铜精矿,606.1,200.0,2000.0
INV-00116,2025-06-15,WH-03,黑龙江多宝山,钼精矿,175.5,100.0,800.0
INV-00117,2025-06-15,WH-04,贵州贞丰,金矿石,368.5,100.0,1000.0
INV-00118,2025-06-15,WH-04,贵州贞丰,锌精矿,965.3,300.0,2500.0
INV-00119,2025-06-15,WH-05,河南洛阳,银精矿,41.1,40.0,400.0
INV-00120,2025-06-15,WH-05,河南洛阳,钼精矿,212.4,80.0,600.0
INV-00121,2025-09-15,WH-01,福建上杭,金矿石,648.9,200.0,2000.0
INV-00122,2025-09-15,WH-01,福建上杭,铜精矿,847.8,300.0,3000.0
INV-00123,2025-09-15,WH-01,福建上杭,银精矿,72.8,50.0,500.0
INV-00124,2025-09-15,WH-02,新疆阿勒泰,金矿石,359.3,150.0,1500.0
INV-00125,2025-09-15,WH-02,新疆阿勒泰,铜精矿,1014.6,250.0,2500.0
INV-00126,2025-09-15,WH-02,新疆阿勒泰,锌精矿,1414.0,400.0,4000.0
INV-00127,2025-09-15,WH-03,黑龙江多宝山,铜精矿,570.0,200.0,2000.0
INV-00128,2025-09-15,WH-03,黑龙江多宝山,钼精矿,96.4,100.0,800.0
INV-00129,2025-09-15,WH-04,贵州贞丰,金矿石,317.8,100.0,1000.0
INV-00130,2025-09-15,WH-04,贵州贞丰,锌精矿,725.7,300.0,2500.0
INV-00131,2025-09-15,WH-05,河南洛阳,银精矿,48.4,40.0,400.0
INV-00132,2025-09-15,WH-05,河南洛阳,钼精矿,165.1,80.0,600.0
INV-00133,2025-12-15,WH-01,福建上杭,金矿石,923.0,200.0,2000.0
INV-00134,2025-12-15,WH-01,福建上杭,铜精矿,1584.7,300.0,3000.0
INV-00135,2025-12-15,WH-01,福建上杭,银精矿,98.2,50.0,500.0
INV-00136,2025-12-15,WH-02,新疆阿勒泰,金矿石,584.2,150.0,1500.0
INV-00137,2025-12-15,WH-02,新疆阿勒泰,铜精矿,1029.8,250.0,2500.0
INV-00138,2025-12-15,WH-02,新疆阿勒泰,锌精矿,1647.4,400.0,4000.0
INV-00139,2025-12-15,WH-03,黑龙江多宝山,铜精矿,618.4,200.0,2000.0
INV-00140,2025-12-15,WH-03,黑龙江多宝山,钼精矿,259.1,100.0,800.0
INV-00141,2025-12-15,WH-04,贵州贞丰,金矿石,530.4,100.0,1000.0
INV-00142,2025-12-15,WH-04,贵州贞丰,锌精矿,956.7,300.0,2500.0
INV-00143,2025-12-15,WH-05,河南洛阳,银精矿,71.6,40.0,400.0
INV-00144,2025-12-15,WH-05,河南洛阳,钼精矿,316.3,80.0,600.0
INV-00145,2025-04-15,WH-01,福建上杭,金矿石,728.1,200.0,2000.0
INV-00146,2025-04-15,WH-01,福建上杭,铜精矿,1401.6,300.0,3000.0
INV-00147,2025-04-15,WH-01,福建上杭,银精矿,110.6,50.0,500.0
INV-00148,2025-04-15,WH-02,新疆阿勒泰,金矿石,656.3,150.0,1500.0
INV-00149,2025-04-15,WH-02,新疆阿勒泰,铜精矿,1078.2,250.0,2500.0
INV-00150,2025-04-15,WH-02,新疆阿勒泰,锌精矿,1597.1,400.0,4000.0
INV-00151,2025-04-15,WH-03,黑龙江多宝山,铜精矿,705.2,200.0,2000.0
INV-00152,2025-04-15,WH-03,黑龙江多宝山,钼精矿,373.6,100.0,800.0
INV-00153,2025-04-15,WH-04,贵州贞丰,金矿石,384.2,100.0,1000.0
INV-00154,2025-04-15,WH-04,贵州贞丰,锌精矿,952.3,300.0,2500.0
INV-00155,2025-04-15,WH-05,河南洛阳,银精矿,94.4,40.0,400.0
INV-00156,2025-04-15,WH-05,河南洛阳,钼精矿,306.0,80.0,600.0
INV-00157,2025-07-15,WH-01,福建上杭,金矿石,698.3,200.0,2000.0
INV-00158,2025-07-15,WH-01,福建上杭,铜精矿,868.7,300.0,3000.0
INV-00159,2025-07-15,WH-01,福建上杭,银精矿,86.9,50.0,500.0
INV-00160,2025-07-15,WH-02,新疆阿勒泰,金矿石,548.3,150.0,1500.0
INV-00161,2025-07-15,WH-02,新疆阿勒泰,铜精矿,1236.1,250.0,2500.0
INV-00162,2025-07-15,WH-02,新疆阿勒泰,锌精矿,1522.4,400.0,4000.0
INV-00163,2025-07-15,WH-03,黑龙江多宝山,铜精矿,631.2,200.0,2000.0
INV-00164,2025-07-15,WH-03,黑龙江多宝山,钼精矿,207.8,100.0,800.0
INV-00165,2025-07-15,WH-04,贵州贞丰,金矿石,320.9,100.0,1000.0
INV-00166,2025-07-15,WH-04,贵州贞丰,锌精矿,867.7,300.0,2500.0
INV-00167,2025-07-15,WH-05,河南洛阳,银精矿,36.7,40.0,400.0
INV-00168,2025-07-15,WH-05,河南洛阳,钼精矿,240.8,80.0,600.0
INV-00169,2025-10-15,WH-01,福建上杭,金矿石,501.8,200.0,2000.0
INV-00170,2025-10-15,WH-01,福建上杭,铜精矿,915.0,300.0,3000.0
INV-00171,2025-10-15,WH-01,福建上杭,银精矿,75.9,50.0,500.0
INV-00172,2025-10-15,WH-02,新疆阿勒泰,金矿石,438.4,150.0,1500.0
INV-00173,2025-10-15,WH-02,新疆阿勒泰,铜精矿,802.5,250.0,2500.0
INV-00174,2025-10-15,WH-02,新疆阿勒泰,锌精矿,1481.8,400.0,4000.0
INV-00175,2025-10-15,WH-03,黑龙江多宝山,铜精矿,514.3,200.0,2000.0
INV-00176,2025-10-15,WH-03,黑龙江多宝山,钼精矿,97.5,100.0,800.0
INV-00177,2025-10-15,WH-04,贵州贞丰,金矿石,239.2,100.0,1000.0
INV-00178,2025-10-15,WH-04,贵州贞丰,锌精矿,736.6,300.0,2500.0
INV-00179,2025-10-15,WH-05,河南洛阳,银精矿,36.3,40.0,400.0
INV-00180,2025-10-15,WH-05,河南洛阳,钼精矿,150.2,80.0,600.0
INV-00181,2026-01-15,WH-01,福建上杭,金矿石,1062.1,200.0,2000.0
INV-00182,2026-01-15,WH-01,福建上杭,铜精矿,1344.6,300.0,3000.0
INV-00183,2026-01-15,WH-01,福建上杭,银精矿,96.5,50.0,500.0
INV-00184,2026-01-15,WH-02,新疆阿勒泰,金矿石,533.4,150.0,1500.0
INV-00185,2026-01-15,WH-02,新疆阿勒泰,铜精矿,1000.0,250.0,2500.0
INV-00186,2026-01-15,WH-02,新疆阿勒泰,锌精矿,1605.3,400.0,4000.0
INV-00187,2026-01-15,WH-03,黑龙江多宝山,铜精矿,604.9,200.0,2000.0
INV-00188,2026-01-15,WH-03,黑龙江多宝山,钼精矿,241.3,100.0,800.0
INV-00189,2026-01-15,WH-04,贵州贞丰,金矿石,519.8,100.0,1000.0
INV-00190,2026-01-15,WH-04,贵州贞丰,锌精矿,1159.8,300.0,2500.0
INV-00191,2026-01-15,WH-05,河南洛阳,银精矿,65.4,40.0,400.0
INV-00192,2026-01-15,WH-05,河南洛阳,钼精矿,286.8,80.0,600.0
INV-00193,2025-05-15,WH-01,福建上杭,金矿石,983.7,200.0,2000.0
INV-00194,2025-05-15,WH-01,福建上杭,铜精矿,1392.4,300.0,3000.0
INV-00195,2025-05-15,WH-01,福建上杭,银精矿,118.5,50.0,500.0
INV-00196,2025-05-15,WH-02,新疆阿勒泰,金矿石,595.3,150.0,1500.0
INV-00197,2025-05-15,WH-02,新疆阿勒泰,铜精矿,1061.9,250.0,2500.0
INV-00198,2025-05-15,WH-02,新疆阿勒泰,锌精矿,1735.3,400.0,4000.0
INV-00199,2025-05-15,WH-03,黑龙江多宝山,铜精矿,802.6,200.0,2000.0
INV-00200,2025-05-15,WH-03,黑龙江多宝山,钼精矿,329.9,100.0,800.0
INV-00201,2025-05-15,WH-04,贵州贞丰,金矿石,361.8,100.0,1000.0
INV-00202,2025-05-15,WH-04,贵州贞丰,锌精矿,1146.0,300.0,2500.0
INV-00203,2025-05-15,WH-05,河南洛阳,银精矿,106.6,40.0,400.0
INV-00204,2025-05-15,WH-05,河南洛阳,钼精矿,282.6,80.0,600.0
INV-00205,2025-08-15,WH-01,福建上杭,金矿石,668.1,200.0,2000.0
INV-00206,2025-08-15,WH-01,福建上杭,铜精矿,1056.8,300.0,3000.0
INV-00207,2025-08-15,WH-01,福建上杭,银精矿,96.0,50.0,500.0
INV-00208,2025-08-15,WH-02,新疆阿勒泰,金矿石,520.0,150.0,1500.0
INV-00209,2025-08-15,WH-02,新疆阿勒泰,铜精矿,1194.6,250.0,2500.0
INV-00210,2025-08-15,WH-02,新疆阿勒泰,锌精矿,1547.3,400.0,4000.0
INV-00211,2025-08-15,WH-03,黑龙江多宝山,铜精矿,719.1,200.0,2000.0
INV-00212,2025-08-15,WH-03,黑龙江多宝山,钼精矿,206.7,100.0,800.0
INV-00213,2025-08-15,WH-04,贵州贞丰,金矿石,329.3,100.0,1000.0
INV-00214,2025-08-15,WH-04,贵州贞丰,锌精矿,870.7,300.0,2500.0
INV-00215,2025-08-15,WH-05,河南洛阳,银精矿,44.2,40.0,400.0
INV-00216,2025-08-15,WH-05,河南洛阳,钼精矿,232.1,80.0,600.0
INV-00217,2025-11-15,WH-01,福建上杭,金矿石,570.0,200.0,2000.0
INV-00218,2025-11-15,WH-01,福建上杭,铜精矿,968.6,300.0,3000.0
INV-00219,2025-11-15,WH-01,福建上杭,银精矿,60.7,50.0,500.0
INV-00220,2025-11-15,WH-02,新疆阿勒泰,金矿石,426.5,150.0,1500.0
INV-00221,2025-11-15,WH-02,新疆阿勒泰,铜精矿,951.4,250.0,2500.0
INV-00222,2025-11-15,WH-02,新疆阿勒泰,锌精矿,1375.2,400.0,4000.0
INV-00223,2025-11-15,WH-03,黑龙江多宝山,铜精矿,565.5,200.0,2000.0
INV-00224,2025-11-15,WH-03,黑龙江多宝山,钼精矿,104.4,100.0,800.0
INV-00225,2025-11-15,WH-04,贵州贞丰,金矿石,284.4,100.0,1000.0
INV-00226,2025-11-15,WH-04,贵州贞丰,锌精矿,840.5,300.0,2500.0
INV-00227,2025-11-15,WH-05,河南洛阳,银精矿,45.1,40.0,400.0
INV-00228,2025-11-15,WH-05,河南洛阳,钼精矿,171.1,80.0,600.0
INV-00229,2026-02-15,WH-01,福建上杭,金矿石,1078.9,200.0,2000.0
INV-00230,2026-02-15,WH-01,福建上杭,铜精矿,1466.1,300.0,3000.0
INV-00231,2026-02-15,WH-01,福建上杭,银精矿,125.4,50.0,500.0
INV-00232,2026-02-15,WH-02,新疆阿勒泰,金矿石,643.9,150.0,1500.0
INV-00233,2026-02-15,WH-02,新疆阿勒泰,铜精矿,1043.7,250.0,2500.0
INV-00234,2026-02-15,WH-02,新疆阿勒泰,锌精矿,1906.3,400.0,4000.0
INV-00235,2026-02-15,WH-03,黑龙江多宝山,铜精矿,798.4,200.0,2000.0
INV-00236,2026-02-15,WH-03,黑龙江多宝山,钼精矿,243.7,100.0,800.0
INV-00237,2026-02-15,WH-04,贵州贞丰,金矿石,497.1,100.0,1000.0
INV-00238,2026-02-15,WH-04,贵州贞丰,锌精矿,1004.8,300.0,2500.0
INV-00239,2026-02-15,WH-05,河南洛阳,银精矿,76.6,40.0,400.0
INV-00240,2026-02-15,WH-05,河南洛阳,钼精矿,318.0,80.0,600.0
INV-00241,2025-06-15,WH-01,福建上杭,金矿石,965.0,200.0,2000.0
INV-00242,2025-06-15,WH-01,福建上杭,铜精矿,1116.0,300.0,3000.0
INV-00243,2025-06-15,WH-01,福建上杭,银精矿,110.4,50.0,500.0
INV-00244,2025-06-15,WH-02,新疆阿勒泰,金矿石,628.0,150.0,1500.0
INV-00245,2025-06-15,WH-02,新疆阿勒泰,铜精矿,823.3,250.0,2500.0
INV-00246,2025-06-15,WH-02,新疆阿勒泰,锌精矿,1594.3,400.0,4000.0
INV-00247,2025-06-15,WH-03,黑龙江多宝山,铜精矿,696.2,200.0,2000.0
INV-00248,2025-06-15,WH-03,黑龙江多宝山,钼精矿,328.7,100.0,800.0
INV-00249,2025-06-15,WH-04,贵州贞丰,金矿石,446.8,100.0,1000.0
INV-00250,2025-06-15,WH-04,贵州贞丰,锌精矿,1253.2,300.0,2500.0
INV-00251,2025-06-15,WH-05,河南洛阳,银精矿,84.0,40.0,400.0
INV-00252,2025-06-15,WH-05,河南洛阳,钼精矿,241.6,80.0,600.0
INV-00253,2025-09-15,WH-01,福建上杭,金矿石,616.2,200.0,2000.0
INV-00254,2025-09-15,WH-01,福建上杭,铜精矿,985.2,300.0,3000.0
INV-00255,2025-09-15,WH-01,福建上杭,银精矿,73.4,50.0,500.0
INV-00256,2025-09-15,WH-02,新疆阿勒泰,金矿石,479.8,150.0,1500.0
INV-00257,2025-09-15,WH-02,新疆阿勒泰,铜精矿,953.1,250.0,2500.0
INV-00258,2025-09-15,WH-02,新疆阿勒泰,锌精矿,1412.4,400.0,4000.0
INV-00259,2025-09-15,WH-03,黑龙江多宝山,铜精矿,720.3,200.0,2000.0
INV-00260,2025-09-15,WH-03,黑龙江多宝山,钼精矿,188.0,100.0,800.0
INV-00261,2025-09-15,WH-04,贵州贞丰,金矿石,406.8,100.0,1000.0
INV-00262,2025-09-15,WH-04,贵州贞丰,锌精矿,1039.2,300.0,2500.0
INV-00263,2025-09-15,WH-05,河南洛阳,银精矿,39.0,40.0,400.0
INV-00264,2025-09-15,WH-05,河南洛阳,钼精矿,214.9,80.0,600.0
INV-00265,2025-12-15,WH-01,福建上杭,金矿石,673.3,200.0,2000.0
INV-00266,2025-12-15,WH-01,福建上杭,铜精矿,995.3,300.0,3000.0
INV-00267,2025-12-15,WH-01,福建上杭,银精矿,58.7,50.0,500.0
INV-00268,2025-12-15,WH-02,新疆阿勒泰,金矿石,361.9,150.0,1500.0
INV-00269,2025-12-15,WH-02,新疆阿勒泰,铜精矿,1014.7,250.0,2500.0
INV-00270,2025-12-15,WH-02,新疆阿勒泰,锌精矿,1161.9,400.0,4000.0
INV-00271,2025-12-15,WH-03,黑龙江多宝山,铜精矿,487.3,200.0,2000.0
INV-00272,2025-12-15,WH-03,黑龙江多宝山,钼精矿,104.8,100.0,800.0
INV-00273,2025-12-15,WH-04,贵州贞丰,金矿石,293.2,100.0,1000.0
INV-00274,2025-12-15,WH-04,贵州贞丰,锌精矿,788.9,300.0,2500.0
INV-00275,2025-12-15,WH-05,河南洛阳,银精矿,49.2,40.0,400.0
INV-00276,2025-12-15,WH-05,河南洛阳,钼精矿,154.0,80.0,600.0
INV-00277,2026-03-15,WH-01,福建上杭,金矿石,859.5,200.0,2000.0
INV-00278,2026-03-15,WH-01,福建上杭,铜精矿,1165.8,300.0,3000.0
INV-00279,2026-03-15,WH-01,福建上杭,银精矿,96.1,50.0,500.0
INV-00280,2026-03-15,WH-02,新疆阿勒泰,金矿石,619.3,150.0,1500.0
INV-00281,2026-03-15,WH-02,新疆阿勒泰,铜精矿,1012.5,250.0,2500.0
INV-00282,2026-03-15,WH-02,新疆阿勒泰,锌精矿,1634.2,400.0,4000.0
INV-00283,2026-03-15,WH-03,黑龙江多宝山,铜精矿,782.3,200.0,2000.0
INV-00284,2026-03-15,WH-03,黑龙江多宝山,钼精矿,247.5,100.0,800.0
INV-00285,2026-03-15,WH-04,贵州贞丰,金矿石,432.3,100.0,1000.0
INV-00286,2026-03-15,WH-04,贵州贞丰,锌精矿,1042.3,300.0,2500.0
INV-00287,2026-03-15,WH-05,河南洛阳,银精矿,79.7,40.0,400.0
INV-00288,2026-03-15,WH-05,河南洛阳,钼精矿,288.9,80.0,600.0
INV-00289,2025-07-15,WH-01,福建上杭,金矿石,968.8,200.0,2000.0
INV-00290,2025-07-15,WH-01,福建上杭,铜精矿,1351.9,300.0,3000.0
INV-00291,2025-07-15,WH-01,福建上杭,银精矿,104.9,50.0,500.0
INV-00292,2025-07-15,WH-02,新疆阿勒泰,金矿石,545.8,150.0,1500.0
INV-00293,2025-07-15,WH-02,新疆阿勒泰,铜精矿,919.4,250.0,2500.0
INV-00294,2025-07-15,WH-02,新疆阿勒泰,锌精矿,1763.0,400.0,4000.0
INV-00295,2025-07-15,WH-03,黑龙江多宝山,铜精矿,682.4,200.0,2000.0
INV-00296,2025-07-15,WH-03,黑龙江多宝山,钼精矿,349.8,100.0,800.0
INV-00297,2025-07-15,WH-04,贵州贞丰,金矿石,495.2,100.0,1000.0
INV-00298,2025-07-15,WH-04,贵州贞丰,锌精矿,1269.8,300.0,2500.0
INV-00299,2025-07-15,WH-05,河南洛阳,银精矿,89.1,40.0,400.0
INV-00300,2025-07-15,WH-05,河南洛阳,钼精矿,312.6,80.0,600.0
INV-00301,2025-10-15,WH-01,福建上杭,金矿石,755.9,200.0,2000.0
INV-00302,2025-10-15,WH-01,福建上杭,铜精矿,1114.8,300.0,3000.0
INV-00303,2025-10-15,WH-01,福建上杭,银精矿,94.0,50.0,500.0
INV-00304,2025-10-15,WH-02,新疆阿勒泰,金矿石,565.8,150.0,1500.0
INV-00305,2025-10-15,WH-02,新疆阿勒泰,铜精矿,1264.2,250.0,2500.0
INV-00306,2025-10-15,WH-02,新疆阿勒泰,锌精矿,1552.1,400.0,4000.0
INV-00307,2025-10-15,WH-03,黑龙江多宝山,铜精矿,574.8,200.0,2000.0
INV-00308,2025-10-15,WH-03,黑龙江多宝山,钼精矿,161.0,100.0,800.0
INV-00309,2025-10-15,WH-04,贵州贞丰,金矿石,355.5,100.0,1000.0
INV-00310,2025-10-15,WH-04,贵州贞丰,锌精矿,770.2,300.0,2500.0
INV-00311,2025-10-15,WH-05,河南洛阳,银精矿,38.8,40.0,400.0
