order_id,order_date,customer_id,product_category,quantity_tons,unit_price,total_amount,region,status
ORD-00029,2025-04-22,CUST-006,锌精矿,522.5,16629.74,8689039.15,华东,已完成
ORD-00030,2025-04-25,CUST-034,钼精矿,112.4,300978.94,33830032.86,西北,已完成
ORD-00031,2025-05-01,CUST-020,金矿石,176.0,425724.03,74927429.28,东北,已完成
ORD-00032,2025-05-05,CUST-043,铜精矿,239.4,44582.14,10672964.32,华东,已取消
ORD-00033,2025-05-08,CUST-013,银精矿,61.8,3747653.10,231604961.58,华南,已完成
ORD-00034,2025-05-12,CUST-036,锌精矿,414.2,21598.23,8945986.87,华北,已完成
ORD-00035,2025-05-15,CUST-001,钼精矿,72.6,336111.40,24401687.64,西南,已完成
ORD-00036,2025-05-18,CUST-028,金矿石,236.5,413407.31,97770828.81,华东,进行中
ORD-00037,2025-05-22,CUST-047,铜精矿,313.9,61896.28,19429242.29,华南,已完成
ORD-00038,2025-05-25,CUST-010,银精矿,32.8,4322192.29,141767907.11,西北,已完成
ORD-00039,2025-06-01,CUST-023,锌精矿,323.7,17423.13,5639867.18,华东,已完成
ORD-00040,2025-06-05,CUST-038,钼精矿,76.6,273749.47,20969209.40,东北,已完成
ORD-00041,2025-06-08,CUST-017,金矿石,247.8,339815.62,84206310.64,华北,已完成
ORD-00042,2025-06-12,CUST-045,铜精矿,302.8,57428.29,17389286.21,西南,已完成
ORD-00043,2025-06-15,CUST-004,银精矿,56.6,3975067.84,224988839.74,华东,已完成
ORD-00044,2025-06-18,CUST-032,锌精矿,456.7,18570.28,8481046.88,华南,进行中
ORD-00045,2025-06-22,CUST-026,钼精矿,103.2,360994.49,37254631.37,华北,已完成
ORD-00046,2025-06-25,CUST-040,金矿石,163.7,390041.48,63849790.28,西南,已完成
ORD-00047,2025-07-01,CUST-024,铜精矿,263.1,47916.60,12606857.46,华东,已取消
ORD-00048,2025-07-05,CUST-049,银精矿,47.4,4129461.44,195736472.26,东北,已完成
ORD-00049,2025-07-08,CUST-030,锌精矿,415.8,19493.61,8105443.04,西北,已完成
ORD-00050,2025-07-12,CUST-007,钼精矿,95.5,301969.62,28838098.71,华南,已完成
ORD-00051,2025-07-15,CUST-015,金矿石,207.3,407404.41,84454934.19,华东,已完成
ORD-00052,2025-07-18,CUST-042,铜精矿,282.6,49387.98,13957043.15,华北,已完成
ORD-00053,2025-07-22,CUST-021,银精矿,42.4,4711714.93,199776713.03,西南,进行中
ORD-00054,2025-07-25,CUST-008,锌精矿,449.8,17801.91,8007299.12,华南,已完成
ORD-00055,2025-08-01,CUST-035,钼精矿,119.5,300976.64,35966708.48,华东,已完成
ORD-00056,2025-08-05,CUST-012,金矿石,189.2,425782.74,80558094.41,东北,已完成
ORD-00057,2025-08-08,CUST-044,铜精矿,271.5,54539.57,14807493.26,西北,已完成
ORD-00058,2025-08-12,CUST-003,银精矿,51.8,4022322.19,208356289.44,华东,已完成
ORD-00059,2025-08-15,CUST-018,锌精矿,346.3,20527.47,7108662.86,华北,已取消
ORD-00060,2025-08-18,CUST-029,钼精矿,81.0,342185.89,27717057.09,华南,已完成
ORD-00061,2025-08-22,CUST-046,金矿石,186.4,425306.83,79277193.11,西南,已完成
ORD-00062,2025-08-25,CUST-011,铜精矿,333.8,53657.16,17910760.01,华东,已完成
ORD-00063,2025-09-01,CUST-037,银精矿,45.6,4884679.20,222741371.52,华南,已完成
ORD-00064,2025-09-05,CUST-019,锌精矿,536.3,18281.61,9804427.44,西北,进行中
ORD-00065,2025-09-08,CUST-033,钼精矿,112.9,309905.05,34988280.15,东北,已完成
ORD-00066,2025-09-12,CUST-005,金矿石,251.8,457761.67,115264388.51,华北,已完成
ORD-00067,2025-09-15,CUST-027,铜精矿,246.5,47427.88,11690972.42,华东,已完成
ORD-00068,2025-09-18,CUST-048,银精矿,35.3,4085957.65,144234305.04,西南,已完成
ORD-00069,2025-09-22,CUST-014,锌精矿,463.2,16943.07,7848030.02,华南,已完成
ORD-00070,2025-09-25,CUST-039,钼精矿,106.9,325101.52,34753352.49,华东,已完成
ORD-00071,2025-10-01,CUST-002,金矿石,214.3,459179.39,98402143.28,华东,已完成
ORD-00072,2025-10-05,CUST-031,铜精矿,313.2,48138.59,15077006.39,东北,已取消
ORD-00073,2025-10-08,CUST-016,银精矿,47.7,3858109.45,184031820.77,华北,已完成
ORD-00074,2025-10-12,CUST-025,锌精矿,332.2,17145.30,5695668.66,西南,已完成
ORD-00075,2025-10-15,CUST-009,钼精矿,79.8,330104.55,26342343.09,华南,进行中
ORD-00076,2025-10-18,CUST-041,金矿石,308.0,381833.12,117604600.96,西北,已完成
ORD-00077,2025-10-22,CUST-006,铜精矿,214.3,48079.54,10303445.42,华东,已完成
ORD-00078,2025-10-25,CUST-034,银精矿,54.6,3727588.20,203526315.72,华南,已完成
ORD-00079,2025-11-01,CUST-020,锌精矿,434.1,19143.80,8310323.58,华北,已完成
ORD-00080,2025-11-05,CUST-043,钼精矿,74.1,338747.64,25101200.12,华东,已完成
ORD-00081,2025-11-08,CUST-013,金矿石,198.2,439706.52,87149832.26,东北,已完成
ORD-00082,2025-11-12,CUST-036,铜精矿,247.7,52572.13,13022116.60,西南,已完成
ORD-00083,2025-11-15,CUST-001,银精矿,56.8,4085915.94,232080025.39,华东,进行中
ORD-00084,2025-11-18,CUST-028,锌精矿,313.0,18862.33,5903909.29,华南,已完成
ORD-00085,2025-11-22,CUST-047,钼精矿,112.8,356517.14,40215133.39,西北,已完成
ORD-00086,2025-11-25,CUST-010,金矿石,250.2,344969.63,86311401.43,华北,已完成
ORD-00087,2025-12-01,CUST-023,铜精矿,356.8,49309.86,17593758.05,华东,已完成
ORD-00088,2025-12-05,CUST-038,银精矿,47.1,4286681.66,201902706.19,西南,已完成
ORD-00089,2025-12-08,CUST-017,锌精矿,347.0,18482.91,6413569.77,东北,已取消
ORD-00090,2025-12-12,CUST-045,钼精矿,78.7,310641.85,24447513.59,华南,已完成
ORD-00091,2025-12-15,CUST-004,金矿石,280.5,417298.15,117052131.08,华东,已完成
ORD-00092,2025-12-18,CUST-032,铜精矿,312.8,50443.43,15778704.90,华北,已完成
ORD-00093,2025-12-22,CUST-026,银精矿,55.5,4149708.78,230308837.29,西北,进行中
ORD-00094,2025-12-25,CUST-040,锌精矿,435.0,19545.82,8502431.70,华南,已完成
ORD-00095,2025-12-28,CUST-024,钼精矿,113.1,319328.80,36116087.28,西南,已完成
ORD-00096,2025-12-28,CUST-049,金矿石,142.1,442219.90,62839447.79,东北,已完成
ORD-00097,2025-12-28,CUST-030,铜精矿,278.1,46384.54,12899540.57,华东,已完成
ORD-00098,2025-12-28,CUST-007,银精矿,33.0,3938721.59,129977812.47,华北,已完成
ORD-00099,2025-12-28,CUST-015,锌精矿,350.9,21245.02,7454877.52,华南,已完成
ORD-00100,2025-12-28,CUST-042,钼精矿,80.1,287502.99,23028989.50,西南,已完成
ORD-00101,2025-02-05,CUST-012,金矿石,127.9,396301.67,50686983.59,华东,已完成
ORD-00102,2025-02-08,CUST-035,铜精矿,329.6,44742.26,14747048.90,华南,已完成
ORD-00103,2025-02-12,CUST-007,银精矿,39.9,4787046.60,191003159.34,华北,已完成
ORD-00104,2025-02-15,CUST-021,锌精矿,540.8,20842.21,11271467.17,西南,进行中
ORD-00105,2025-02-18,CUST-042,钼精矿,74.6,279761.60,20870215.36,华东,已完成
ORD-00106,2025-02-22,CUST-018,金矿石,205.2,354768.96,72798590.59,西北,已完成
ORD-00107,2025-02-25,CUST-003,铜精矿,183.2,51292.18,9396727.38,华南,已取消
ORD-00108,2025-03-01,CUST-029,银精矿,59.9,4064617.90,243470612.21,华东,已完成
ORD-00109,2025-03-05,CUST-015,锌精矿,462.0,16448.40,7599160.80,东北,已完成
ORD-00110,2025-03-08,CUST-037,钼精矿,99.1,314860.14,31202639.87,华北,已完成
ORD-00111,2025-03-12,CUST-008,金矿石,182.5,457494.29,83492707.92,华南,进行中
ORD-00112,2025-03-15,CUST-044,铜精矿,280.2,59447.79,16657270.76,西南,已完成
ORD-00113,2025-03-20,CUST-022,银精矿,33.9,3988229.75,135200988.53,华东,已完成
ORD-00114,2025-03-25,CUST-011,锌精矿,407.7,20764.59,8465723.34,华北,已完成
ORD-00115,2025-04-01,CUST-033,钼精矿,119.8,333862.16,39996686.77,西北,已完成
ORD-00116,2025-04-05,CUST-019,金矿石,297.6,445924.30,132707071.68,华东,已完成
ORD-00117,2025-04-08,CUST-046,铜精矿,332.0,58032.82,19266896.24,东北,已取消
ORD-00118,2025-04-12,CUST-005,银精矿,48.0,4927434.16,236516839.68,华南,已完成
ORD-00119,2025-04-15,CUST-027,锌精矿,483.2,21491.48,10384683.14,西南,已完成
ORD-00120,2025-04-18,CUST-014,钼精矿,79.8,333184.35,26588111.13,华北,进行中
ORD-00121,2025-04-22,CUST-039,金矿石,192.3,358770.28,68991524.84,华东,已完成
ORD-00122,2025-04-25,CUST-002,铜精矿,325.1,47847.83,15555329.53,华南,已完成
ORD-00123,2025-05-01,CUST-031,银精矿,37.0,4286781.50,158610915.50,西北,已完成
ORD-00124,2025-05-05,CUST-016,锌精矿,339.5,16355.64,5552739.78,华东,已完成
ORD-00125,2025-05-08,CUST-048,钼精矿,88.9,325416.68,28929542.85,东北,已完成
ORD-00126,2025-05-12,CUST-009,金矿石,205.7,336530.57,69224338.25,华北,已完成
ORD-00127,2025-05-15,CUST-025,铜精矿,358.6,50883.15,18246697.59,西南,进行中
ORD-00128,2025-05-18,CUST-041,银精矿,61.4,4385312.66,269258197.32,华南,已完成
ORD-00129,2025-05-22,CUST-006,锌精矿,519.8,18238.21,9480221.56,华东,已完成
ORD-00130,2025-05-25,CUST-034,钼精矿,87.2,351440.03,30645570.62,西北,已完成
ORD-00131,2025-06-01,CUST-020,金矿石,159.2,350837.33,55853302.94,东北,已完成
ORD-00132,2025-06-05,CUST-043,铜精矿,229.3,52252.21,11981431.75,华东,已取消
ORD-00133,2025-06-08,CUST-013,银精矿,58.4,4745023.65,277109381.16,华南,已完成
ORD-00134,2025-06-12,CUST-036,锌精矿,412.2,15951.15,6575064.03,华北,已完成
ORD-00135,2025-06-15,CUST-001,钼精矿,72.5,349935.26,25370306.35,西南,已完成
ORD-00136,2025-06-18,CUST-028,金矿石,254.4,361622.09,91996659.70,华东,进行中
ORD-00137,2025-06-22,CUST-047,铜精矿,309.2,48335.18,14945237.66,华南,已完成
ORD-00138,2025-06-25,CUST-010,银精矿,35.0,4047527.68,141663468.80,西北,已完成
ORD-00139,2025-07-01,CUST-023,锌精矿,344.0,16118.99,5544932.56,华东,已完成
ORD-00140,2025-07-05,CUST-038,钼精矿,91.5,369394.39,33799586.69,东北,已完成
ORD-00141,2025-07-08,CUST-017,金矿石,182.8,379161.02,69310634.46,华北,已完成
ORD-00142,2025-07-12,CUST-045,铜精矿,346.8,49038.54,17006565.67,西南,已完成
ORD-00143,2025-07-15,CUST-004,银精矿,52.9,4433026.00,234507075.40,华东,已完成
ORD-00144,2025-07-18,CUST-032,锌精矿,413.7,20722.91,8573067.87,华南,进行中
ORD-00145,2025-07-22,CUST-026,钼精矿,119.4,294578.26,35172644.24,华北,已完成
ORD-00146,2025-07-25,CUST-040,金矿石,181.5,433611.18,78700429.17,西南,已完成
ORD-00147,2025-08-01,CUST-024,铜精矿,288.4,60179.47,17355759.15,华东,已取消
ORD-00148,2025-08-05,CUST-049,银精矿,36.4,3851469.44,140193487.62,东北,已完成
ORD-00149,2025-08-08,CUST-030,锌精矿,437.1,16805.57,7345714.65,西北,已完成
ORD-00150,2025-08-12,CUST-007,钼精矿,80.8,320520.24,25898035.39,华南,已完成
ORD-00151,2025-08-15,CUST-015,金矿石,244.1,446494.11,108989212.25,华东,已完成
ORD-00152,2025-08-18,CUST-042,铜精矿,317.0,51649.73,16372964.41,华北,已完成
ORD-00153,2025-08-22,CUST-021,银精矿,37.1,4030753.17,149540942.61,西南,进行中
ORD-00154,2025-08-25,CUST-008,锌精矿,433.6,19949.32,8650025.15,华南,已完成
ORD-00155,2025-09-01,CUST-035,钼精矿,109.5,300902.72,32948847.84,华东,已完成
ORD-00156,2025-09-05,CUST-012,金矿石,173.7,417740.15,72561464.05,东北,已完成
ORD-00157,2025-09-08,CUST-044,铜精矿,264.2,55068.42,14549076.56,西北,已完成
ORD-00158,2025-09-12,CUST-003,银精矿,57.8,4813698.98,278231801.04,华东,已完成
ORD-00159,2025-09-15,CUST-018,锌精矿,422.6,17091.18,7222732.67,华北,已取消
ORD-00160,2025-09-18,CUST-029,钼精矿,87.5,337550.76,29535691.50,华南,已完成
ORD-00161,2025-09-22,CUST-046,金矿石,174.2,341535.91,59495555.52,西南,已完成
ORD-00162,2025-09-25,CUST-011,铜精矿,346.8,55998.91,19420421.99,华东,已完成
ORD-00163,2025-10-01,CUST-037,银精矿,46.0,4062488.65,186874477.90,华南,已完成
ORD-00164,2025-10-05,CUST-019,锌精矿,526.7,18768.96,9885611.23,西北,进行中
ORD-00165,2025-10-08,CUST-033,钼精矿,101.1,370404.78,37447923.26,东北,已完成
ORD-00166,2025-10-12,CUST-005,金矿石,252.2,357234.09,90094437.50,华北,已完成
ORD-00167,2025-10-15,CUST-027,铜精矿,234.7,47800.97,11218887.66,华东,已完成
ORD-00168,2025-10-18,CUST-048,银精矿,29.4,3780592.97,111149433.32,西南,已完成
ORD-00169,2025-10-22,CUST-014,锌精矿,501.4,18726.16,9389296.62,华南,已完成
ORD-00170,2025-10-25,CUST-039,钼精矿,130.2,304786.97,39683263.49,华东,已完成
ORD-00171,2025-11-01,CUST-002,金矿石,196.3,386326.33,75835858.58,华东,已完成
ORD-00172,2025-11-05,CUST-031,铜精矿,375.3,58085.17,21799364.30,东北,已取消
ORD-00173,2025-11-08,CUST-016,银精矿,41.8,3908441.88,163372870.58,华北,已完成
ORD-00174,2025-11-12,CUST-025,锌精矿,361.0,20453.98,7383886.78,西南,已完成
ORD-00175,2025-11-15,CUST-009,钼精矿,100.0,362553.53,36255353.00,华南,进行中
ORD-00176,2025-11-18,CUST-041,金矿石,267.1,443423.35,118438376.78,西北,已完成
ORD-00177,2025-11-22,CUST-006,铜精矿,214.7,50301.69,10799772.84,华东,已完成
ORD-00178,2025-11-25,CUST-034,银精矿,56.0,4287393.60,240094041.60,华南,已完成
ORD-00179,2025-12-01,CUST-020,锌精矿,515.9,16990.57,8765435.06,华北,已完成
ORD-00180,2025-12-05,CUST-043,钼精矿,66.5,369524.11,24573353.31,华东,已完成
ORD-00181,2025-12-08,CUST-013,金矿石,177.2,366852.42,65006248.82,东北,已完成
ORD-00182,2025-12-12,CUST-036,铜精矿,336.3,61188.74,20577773.26,西南,已完成
ORD-00183,2025-12-15,CUST-001,银精矿,72.5,4524675.52,328038975.20,华东,进行中
ORD-00184,2025-12-18,CUST-028,锌精矿,349.7,17549.96,6137221.01,华南,已完成
ORD-00185,2025-12-22,CUST-047,钼精矿,97.7,296690.17,28986629.61,西北,已完成
ORD-00186,2025-12-25,CUST-010,金矿石,265.4,367887.42,97637321.27,华北,已完成
ORD-00187,2026-01-01,CUST-023,铜精矿,292.6,62825.26,18382671.08,华东,已完成
ORD-00188,2026-01-05,CUST-038,银精矿,46.1,4487143.29,206857305.67,西南,已完成
ORD-00189,2026-01-08,CUST-017,锌精矿,415.7,20343.98,8456992.49,东北,已取消
ORD-00190,2026-01-12,CUST-045,钼精矿,96.0,371011.80,35617132.80,华南,已完成
ORD-00191,2026-01-15,CUST-004,金矿石,229.6,384463.56,88272833.38,华东,已完成
ORD-00192,2026-01-18,CUST-032,铜精矿,252.8,47578.08,12027738.62,华北,已完成
ORD-00193,2026-01-22,CUST-026,银精矿,54.1,4611115.11,249461327.45,西北,进行中
ORD-00194,2026-01-25,CUST-040,锌精矿,456.0,16645.20,7590211.20,华南,已完成
ORD-00195,2026-01-28,CUST-024,钼精矿,91.4,339875.18,31064591.45,西南,已完成
ORD-00196,2026-01-28,CUST-049,金矿石,150.5,406275.82,61144510.91,东北,已完成
ORD-00197,2026-01-28,CUST-030,铜精矿,318.2,58893.88,18740032.62,华东,已完成
ORD-00198,2026-01-28,CUST-007,银精矿,34.3,4137408.82,141913122.53,华北,已完成
ORD-00199,2026-01-28,CUST-015,锌精矿,394.5,21103.61,8325374.15,华南,已完成
ORD-00200,2026-01-28,CUST-042,钼精矿,93.2,345585.43,32208562.08,西南,已完成
ORD-00201,2025-03-05,CUST-012,金矿石,152.7,351796.06,53719258.36,华东,已完成
ORD-00202,2025-03-08,CUST-035,铜精矿,298.9,55750.40,16663794.56,华南,已完成
ORD-00203,2025-03-12,CUST-007,银精矿,52.7,4360851.60,229816879.32,华北,已完成
ORD-00204,2025-03-15,CUST-021,锌精矿,543.0,17518.04,9512295.72,西南,进行中
ORD-00205,2025-03-18,CUST-042,钼精矿,72.6,303848.96,22059434.50,华东,已完成
ORD-00206,2025-03-22,CUST-018,金矿石,212.3,333237.45,70746310.64,西北,已完成
ORD-00207,2025-03-25,CUST-003,铜精矿,200.0,59696.13,11939226.00,华南,已取消
ORD-00208,2025-04-01,CUST-029,银精矿,55.8,3611450.35,201518929.53,华东,已完成
ORD-00209,2025-04-05,CUST-015,锌精矿,474.3,18543.49,8795177.31,东北,已完成
ORD-00210,2025-04-08,CUST-037,钼精矿,91.8,298384.07,27391657.63,华北,已完成
ORD-00211,2025-04-12,CUST-008,金矿石,164.6,334537.48,55064869.21,华南,进行中
ORD-00212,2025-04-15,CUST-044,铜精矿,259.8,44429.31,11542734.74,西南,已完成
ORD-00213,2025-04-20,CUST-022,银精矿,32.0,4516832.00,144538624.00,华东,已完成
ORD-00214,2025-04-25,CUST-011,锌精矿,424.7,17616.41,7481689.33,华北,已完成
ORD-00215,2025-05-01,CUST-033,钼精矿,127.6,341302.40,43550186.24,西北,已完成
ORD-00216,2025-05-05,CUST-019,金矿石,322.3,445135.21,143467078.18,华东,已完成
ORD-00217,2025-05-08,CUST-046,铜精矿,384.8,61582.71,23697026.81,东北,已取消
ORD-00218,2025-05-12,CUST-005,银精矿,50.2,4234285.66,212561140.13,华南,已完成
ORD-00219,2025-05-15,CUST-027,锌精矿,443.4,18952.11,8403365.57,西南,已完成
ORD-00220,2025-05-18,CUST-014,钼精矿,69.7,329390.87,22958543.64,华北,进行中
ORD-00221,2025-05-22,CUST-039,金矿石,215.3,402000.12,86550625.84,华东,已完成
ORD-00222,2025-05-25,CUST-002,铜精矿,340.9,63085.86,21505969.67,华南,已完成
ORD-00223,2025-06-01,CUST-031,银精矿,40.1,3837389.48,153879318.15,西北,已完成
ORD-00224,2025-06-05,CUST-016,锌精矿,387.9,17315.52,6716690.21,华东,已完成
ORD-00225,2025-06-08,CUST-048,钼精矿,90.8,307404.99,27912373.09,东北,已完成
ORD-00226,2025-06-12,CUST-009,金矿石,242.6,373678.31,90654358.01,华北,已完成
ORD-00227,2025-06-15,CUST-025,铜精矿,359.6,58815.72,21150132.91,西南,进行中
ORD-00228,2025-06-18,CUST-041,银精矿,51.1,3592610.75,183582409.33,华南,已完成
ORD-00229,2025-06-22,CUST-006,锌精矿,523.4,17680.19,9253811.45,华东,已完成
ORD-00230,2025-06-25,CUST-034,钼精矿,114.0,341001.60,38874182.40,西北,已完成
ORD-00231,2025-07-01,CUST-020,金矿石,166.0,336634.46,55881320.36,东北,已完成
ORD-00232,2025-07-05,CUST-043,铜精矿,245.1,45912.05,11253043.46,华东,已取消
ORD-00233,2025-07-08,CUST-013,银精矿,75.1,4856835.24,364748326.52,华南,已完成
ORD-00234,2025-07-12,CUST-036,锌精矿,471.5,18046.53,8508938.89,华北,已完成
ORD-00235,2025-07-15,CUST-001,钼精矿,77.8,367021.77,28554293.71,西南,已完成
ORD-00236,2025-07-18,CUST-028,金矿石,250.0,390607.81,97651952.50,华东,进行中
ORD-00237,2025-07-22,CUST-047,铜精矿,291.8,51724.15,15093106.97,华南,已完成
ORD-00238,2025-07-25,CUST-010,银精矿,31.1,4126300.99,128327960.79,西北,已完成
ORD-00239,2025-08-01,CUST-023,锌精矿,371.6,18377.08,6828922.93,华东,已完成
ORD-00240,2025-08-05,CUST-038,钼精矿,100.9,335113.70,33812972.33,东北,已完成
ORD-00241,2025-08-08,CUST-017,金矿石,229.4,372806.71,85521859.27,华北,已完成
ORD-00242,2025-08-12,CUST-045,铜精矿,343.4,56630.55,19446930.87,西南,已完成
ORD-00243,2025-08-15,CUST-004,银精矿,55.6,4087843.36,227284090.82,华东,已完成
ORD-00244,2025-08-18,CUST-032,锌精矿,415.7,18244.82,7584371.67,华南,进行中
ORD-00245,2025-08-22,CUST-026,钼精矿,118.6,313092.94,37132822.68,华北,已完成
ORD-00246,2025-08-25,CUST-040,金矿石,160.6,449304.60,72158318.76,西南,已完成
ORD-00247,2025-09-01,CUST-024,铜精矿,251.8,53783.82,13542765.88,华东,已取消
ORD-00248,2025-09-05,CUST-049,银精矿,39.2,3803558.72,149099501.82,东北,已完成
ORD-00249,2025-09-08,CUST-030,锌精矿,422.8,17358.44,7339148.43,西北,已完成
ORD-00250,2025-09-12,CUST-007,钼精矿,82.3,317943.47,26166747.58,华南,已完成
ORD-00251,2025-09-15,CUST-015,金矿石,264.6,345737.80,91482221.88,华东,已完成
ORD-00252,2025-09-18,CUST-042,铜精矿,271.6,58417.61,15866222.88,华北,已完成
ORD-00253,2025-09-22,CUST-021,银精矿,41.0,4559159.56,186925541.96,西南,进行中
ORD-00254,2025-09-25,CUST-008,锌精矿,432.8,20479.63,8863583.86,华南,已完成
ORD-00255,2025-10-01,CUST-035,钼精矿,127.7,292676.48,37374786.50,华东,已完成
ORD-00256,2025-10-05,CUST-012,金矿石,175.8,415485.09,73042278.82,东北,已完成
ORD-00257,2025-10-08,CUST-044,铜精矿,264.3,55556.71,14683638.45,西北,已完成
ORD-00258,2025-10-12,CUST-003,银精矿,53.1,3601309.17,191229516.93,华东,已完成
ORD-00259,2025-10-15,CUST-018,锌精矿,367.0,20291.09,7446830.03,华北,已取消
ORD-00260,2025-10-18,CUST-029,钼精矿,75.7,308236.97,23333538.63,华南,已完成
ORD-00261,2025-10-22,CUST-046,金矿石,225.0,375205.40,84421215.00,西南,已完成
ORD-00262,2025-10-25,CUST-011,铜精矿,374.8,60130.27,22536825.20,华东,已完成
ORD-00263,2025-11-01,CUST-037,银精矿,44.5,4790929.17,213196348.06,华南,已完成
ORD-00264,2025-11-05,CUST-019,锌精矿,493.8,16925.25,8357688.45,西北,进行中
ORD-00265,2025-11-08,CUST-033,钼精矿,91.9,327343.90,30082904.41,东北,已完成
ORD-00266,2025-11-12,CUST-005,金矿石,271.5,453715.31,123183706.67,华北,已完成
ORD-00267,2025-11-15,CUST-027,铜精矿,193.3,45897.70,8872025.41,华东,已完成
ORD-00268,2025-11-18,CUST-048,银精矿,35.0,3864865.23,135270283.05,西南,已完成
ORD-00269,2025-11-22,CUST-014,锌精矿,398.4,20116.42,8014381.73,华南,已完成
ORD-00270,2025-11-25,CUST-039,钼精矿,127.9,322406.84,41235834.84,华东,已完成
ORD-00271,2025-12-01,CUST-002,金矿石,203.4,348355.92,70855594.13,华东,已完成
ORD-00272,2025-12-05,CUST-031,铜精矿,352.5,49056.73,17292497.33,东北,已取消
ORD-00273,2025-12-08,CUST-016,银精矿,46.5,3739040.50,173865383.25,华北,已完成
ORD-00274,2025-12-12,CUST-025,锌精矿,309.5,17228.65,5332267.18,西南,已完成
ORD-00275,2025-12-15,CUST-009,钼精矿,91.6,343620.53,31475640.55,华南,进行中
ORD-00276,2025-12-18,CUST-041,金矿石,309.4,432346.71,133768072.07,西北,已完成
ORD-00277,2025-12-22,CUST-006,铜精矿,256.5,44186.94,11333950.11,华东,已完成
ORD-00278,2025-12-25,CUST-034,银精矿,61.0,3849279.00,234806019.00,华南,已完成
ORD-00279,2026-01-01,CUST-020,锌精矿,527.0,21584.58,11375073.66,华北,已完成
ORD-00280,2026-01-05,CUST-043,钼精矿,85.4,344251.35,29399065.29,华东,已完成
ORD-00281,2026-01-08,CUST-013,金矿石,175.3,373347.22,65447767.67,东北,已完成
ORD-00282,2026-01-12,CUST-036,铜精矿,322.2,51060.81,16451792.98,西南,已完成
ORD-00283,2026-01-15,CUST-001,银精矿,53.9,3713308.65,200147336.23,华东,进行中
ORD-00284,2026-01-18,CUST-028,锌精矿,302.5,18259.67,5523550.17,华南,已完成
ORD-00285,2026-01-22,CUST-047,钼精矿,114.8,290674.58,33369441.78,西北,已完成
ORD-00286,2026-01-25,CUST-010,金矿石,239.7,419802.71,100626709.59,华北,已完成
ORD-00287,2026-02-01,CUST-023,铜精矿,264.8,54541.97,14442713.66,华东,已完成
ORD-00288,2026-02-05,CUST-038,银精矿,37.9,4043774.27,153259044.83,西南,已完成
ORD-00289,2026-02-08,CUST-017,锌精矿,399.7,21597.85,8632660.64,东北,已取消
ORD-00290,2026-02-12,CUST-045,钼精矿,76.8,348625.27,26774420.74,华南,已完成
ORD-00291,2026-02-15,CUST-004,金矿石,293.2,364944.15,107001624.78,华东,已完成
